,Date,Game Category,Result,Total Moves,Opponent,My_Rating,Opponent_Rating,My_Accuracy,Opponent_Accuracy
0,2023-06-23,5 min,Win,30,YaroslavAlex,1034,1012,,
1,2023-06-23,5 min,Draw,56,NEWPLAYERSPAIN,1026,1053,,
2,2023-06-23,5 min,Win,24,VirajMaske999,1025,1039,,
3,2023-06-23,5 min,Win,25,Andhree,1016,1036,,
4,2023-06-22,5 min,Win,28,Maychick,1007,1026,,
5,2023-06-22,5 min,Win,60,Wardaddy666,998,949,,
6,2023-06-21,5 min,Loss,26,yeetsgambit,991,1048,,
7,2023-06-21,5 min,Loss,37,Toamttttttttt,998,1047,,
8,2023-06-21,5 min,Loss,39,andy_murre,1005,1011,,
9,2023-06-21,5 min,Win,39,d-dsn,1013,1039,,
10,2023-06-21,5 min,Win,30,jonasunn,1004,958,,
11,2023-06-21,5 min,Win,31,LDAV1199,997,976,,
12,2023-06-21,5 min,Loss,17,Peterfcst,988,977,,
13,2023-06-21,5 min,Win,2,mhtbjj,997,1028,,
14,2023-06-21,5 min,Win,30,divijsingh12,988,967,,
15,2023-06-20,5 min,Loss,48,opelola,980,1009,,
16,2023-06-20,5 min,Loss,49,RazLAEp,988,1011,,
17,2023-06-20,5 min,Win,34,Elkhalfy,996,937,,
18,2023-06-20,5 min,Win,14,MsBigodes,989,999,,
19,2023-06-20,5 min,Loss,23,agile23,980,970,,
20,2023-06-20,5 min,Win,47,Hellochezz,989,946,,
21,2023-06-20,5 min,Loss,59,Rocker_128,982,1081,,
22,2023-06-20,5 min,Win,18,Robinsr11,988,969,,
23,2023-06-20,5 min,Win,30,josedel-k,980,1001,,
24,2023-06-20,5 min,Loss,25,jayanth22,971,977,,
25,2023-06-20,5 min,Win,38,Toyii20,979,962,,
26,2023-06-19,5 min,Loss,28,Cleitonrob,971,960,69.7,87.7
27,2023-06-19,5 min,Win,20,max972,980,957,,
28,2023-06-19,5 min,Loss,24,otiso,972,1023,,
29,2023-06-19,5 min,Win,21,aessecl,979,987,,
30,2023-06-19,5 min,Draw,79,emilcococek,970,943,,
31,2023-06-19,5 min,Win,47,JustJoshng,971,933,,
32,2023-06-18,5 min,Win,58,SageDPathzxz,963,976,,
33,2023-06-16,5 min,Draw,66,blauerire12,954,966,,
34,2023-06-16,5 min,Win,41,panv0,954,945,,
35,2023-06-16,5 min,Loss,20,elpub3,946,989,48.6,70.4
36,2023-06-16,5 min,Win,14,nontoxic_acid,953,915,,
37,2023-06-16,5 min,Loss,41,ybyty1313,946,953,,
38,2023-06-16,5 min,Win,20,Milton_Armijos,954,956,,
39,2023-06-14,5 min,Loss,23,makflaii,946,945,,
40,2023-06-14,5 min,Loss,30,garysat,954,993,,
41,2023-06-14,5 min,Loss,22,UmutEnesD,961,985,,
42,2023-06-14,5 min,Loss,22,EXODIA_31,969,1030,,
43,2023-06-14,5 min,Win,16,lotaokoye,976,955,,
44,2023-06-14,5 min,Win,27,Huggerbirk,968,949,,
45,2023-06-14,5 min,Win,21,Hanzmeisterr,960,842,,
46,2023-06-14,5 min,Win,39,vishnuvel,954,957,,
47,2023-06-13,5 min,Win,16,GarrettDonovan,946,936,,
48,2023-06-13,5 min,Win,63,Jonidevil27,938,933,,
49,2023-06-13,5 min,Win,33,Romarius68,930,919,,
50,2023-06-23,5 min,Win,30,YaroslavAlex,1034,1012,,
51,2023-06-23,5 min,Draw,56,NEWPLAYERSPAIN,1026,1053,,
52,2023-06-23,5 min,Win,24,VirajMaske999,1025,1039,,
53,2023-06-23,5 min,Win,25,Andhree,1016,1036,,
54,2023-06-22,5 min,Win,28,Maychick,1007,1026,,
55,2023-06-22,5 min,Win,60,Wardaddy666,998,949,,
56,2023-06-21,5 min,Loss,26,yeetsgambit,991,1048,,
57,2023-06-21,5 min,Loss,37,Toamttttttttt,998,1047,,
58,2023-06-21,5 min,Loss,39,andy_murre,1005,1011,,
59,2023-06-21,5 min,Win,39,d-dsn,1013,1039,,
60,2023-06-21,5 min,Win,30,jonasunn,1004,958,,
61,2023-06-21,5 min,Win,31,LDAV1199,997,976,,
62,2023-06-21,5 min,Loss,17,Peterfcst,988,977,,
63,2023-06-21,5 min,Win,2,mhtbjj,997,1028,,
64,2023-06-21,5 min,Win,30,divijsingh12,988,967,,
65,2023-06-20,5 min,Loss,48,opelola,980,1009,,
66,2023-06-20,5 min,Loss,49,RazLAEp,988,1011,,
67,2023-06-20,5 min,Win,34,Elkhalfy,996,937,,
68,2023-06-20,5 min,Win,14,MsBigodes,989,999,,
69,2023-06-20,5 min,Loss,23,agile23,980,970,,
70,2023-06-20,5 min,Win,47,Hellochezz,989,946,,
71,2023-06-20,5 min,Loss,59,Rocker_128,982,1081,,
72,2023-06-20,5 min,Win,18,Robinsr11,988,969,,
73,2023-06-20,5 min,Win,30,josedel-k,980,1001,,
74,2023-06-20,5 min,Loss,25,jayanth22,971,977,,
75,2023-06-20,5 min,Win,38,Toyii20,979,962,,
76,2023-06-19,5 min,Loss,28,Cleitonrob,971,960,69.7,87.7
77,2023-06-19,5 min,Win,20,max972,980,957,,
78,2023-06-19,5 min,Loss,24,otiso,972,1023,,
79,2023-06-19,5 min,Win,21,aessecl,979,987,,
80,2023-06-19,5 min,Draw,79,emilcococek,970,943,,
81,2023-06-19,5 min,Win,47,JustJoshng,971,933,,
82,2023-06-18,5 min,Win,58,SageDPathzxz,963,976,,
83,2023-06-16,5 min,Draw,66,blauerire12,954,966,,
84,2023-06-16,5 min,Win,41,panv0,954,945,,
85,2023-06-16,5 min,Loss,20,elpub3,946,989,48.6,70.4
86,2023-06-16,5 min,Win,14,nontoxic_acid,953,915,,
87,2023-06-16,5 min,Loss,41,ybyty1313,946,953,,
88,2023-06-16,5 min,Win,20,Milton_Armijos,954,956,,
89,2023-06-14,5 min,Loss,23,makflaii,946,945,,
90,2023-06-14,5 min,Loss,30,garysat,954,993,,
91,2023-06-14,5 min,Loss,22,UmutEnesD,961,985,,
92,2023-06-14,5 min,Loss,22,EXODIA_31,969,1030,,
93,2023-06-14,5 min,Win,16,lotaokoye,976,955,,
94,2023-06-14,5 min,Win,27,Huggerbirk,968,949,,
95,2023-06-14,5 min,Win,21,Hanzmeisterr,960,842,,
96,2023-06-14,5 min,Win,39,vishnuvel,954,957,,
97,2023-06-13,5 min,Win,16,GarrettDonovan,946,936,,
98,2023-06-13,5 min,Win,63,Jonidevil27,938,933,,
99,2023-06-13,5 min,Win,33,Romarius68,930,919,,
100,2023-06-12,5 min,Win,29,PaulTinta11,922,876,,
101,2023-06-07,5 min,Loss,24,vamos13,915,917,,
102,2023-06-07,5 min,Win,15,Scaevola50,923,920,,
103,2023-06-07,5 min,Loss,29,64ptrn,915,941,,
104,2023-06-07,5 min,Win,17,karthikcak,923,869,,
105,2023-06-07,5 min,Loss,17,Abhayshah123456,916,893,,
106,2023-06-07,5 min,Win,34,Gujansko,925,945,,
107,2023-06-06,5 min,Win,7,skprasad,916,837,,
108,2023-06-06,5 min,Loss,56,DENIAL23,910,941,,
109,2023-06-06,5 min,Win,65,hulki23,918,938,,
110,2023-06-06,5 min,Win,13,PavleKnezevic7,909,854,,
111,2023-06-03,5 min,Loss,25,Resxian,894,945,,
112,2023-06-03,3 min,Loss,28,charlesherisson,901,978,,
113,2023-06-03,5 min,Draw,72,sitoa,908,956,,
